Sensor_001,Sensor_002,Sensor_003,Sensor_004,Sensor_005,Sensor_006,Sensor_007,Sensor_008,Sensor_009,Sensor_010,Sensor_011,Sensor_012,Sensor_013,Sensor_014,Sensor_015,Sensor_016,Sensor_017,Sensor_018,Sensor_019,Sensor_020,Sensor_021,Sensor_022,Sensor_023,Sensor_024,Sensor_025,Sensor_026,Sensor_027,Sensor_028,Sensor_029,Sensor_030,Sensor_031,Sensor_032,Sensor_033,Sensor_034,Sensor_035,Sensor_036,Sensor_037,Sensor_038,Sensor_039,Sensor_040,Sensor_041,Sensor_042,Sensor_043,Sensor_044,Sensor_045,Sensor_046,Sensor_047,Sensor_048,Sensor_049,Sensor_050,Sensor_051,Sensor_052,Sensor_053,Sensor_054,Sensor_055,Sensor_056,Sensor_057,Sensor_058,Sensor_059,Sensor_060,Sensor_061,Sensor_062,Sensor_063,Sensor_064,Sensor_065,Sensor_066,Sensor_067,Sensor_068,Sensor_069,Sensor_070,Sensor_071,Sensor_072,Sensor_073,Sensor_074,Sensor_075,Sensor_076,Sensor_077,Sensor_078,Sensor_079,Sensor_080,Sensor_081,Sensor_082,Sensor_083,Sensor_084,Sensor_085,Sensor_086,Sensor_087,Sensor_088,Sensor_089,Sensor_090,Sensor_091,Sensor_092,Sensor_093,Sensor_094,Sensor_095,Sensor_096,Sensor_097,Sensor_098,Sensor_099,Sensor_100,Sensor_101,Sensor_102,Sensor_103,Sensor_104,Sensor_105,Sensor_106,Sensor_107,Sensor_108,Sensor_109,Sensor_110,Sensor_111,Sensor_112,Sensor_113,Sensor_114,Sensor_115,Sensor_116,Sensor_117,Sensor_118,Sensor_119,Sensor_120,Sensor_121,Sensor_122,Sensor_123,Sensor_124,Sensor_125,Sensor_126,Sensor_127,Sensor_128,Sensor_129,Sensor_130,Sensor_131,Sensor_132,Sensor_133,Sensor_134,Sensor_135,Sensor_136,Sensor_137,Sensor_138,Sensor_139,Sensor_140,Sensor_141,Sensor_142,Sensor_143,Sensor_144,Sensor_145,Sensor_146,Sensor_147,Sensor_148,Sensor_149,Sensor_150,Sensor_151,Sensor_152,Sensor_153,Sensor_154,Sensor_155,Sensor_156,Sensor_157,Sensor_158,Sensor_159,Sensor_160,Sensor_161,Sensor_162,Sensor_163,Sensor_164,Sensor_165,Sensor_166,Sensor_167,Sensor_168,Sensor_169,Sensor_170
323980,na,na,na,na,na,0,0,35506,1229678,7209146,7342146,3220520,373694,50600,188,6828972,0,0,na,936270,1423368,16710756,16475420,3704202,860526,na,0,0,0,na,na,0,0,0,0,11618,175416,607102,8814354,9852988,0,40266,17806,28398,55982,16413862,2905160,4,0,0,0,3646380,4438450,4635692,2676116,1383500,802308,540062,549100,412828,377042,21355298,na,na,na,na,6828972,168898,2015198,1681138,na,na,na,na,na,na,na,na,na,323979.61,na,na,na,107381,na,na,na,na,na,na,na,na,na,15780692.16,0,3672108.48,na,na,0,181544,2357676,5414582,6477718,3989956,954708,79360,5794,140,na,na,na,na,14584,4778,1177962,1034920,1896616,14597422,721288,13908,0,0,502,1800,12764940,8333216,330,6640,0,0,14453966,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3763126,1872962,933516,502650,1035360,1120162,9566368,590640,76620,74,na,na
8,0,2,2,8,6,0,0,0,0,2840,1216,1590,0,0,0,1496,0,0,0,1032,2234,3596,3108,19280,244,0,0,0,0,6,16,0,0,0,0,0,0,0,832,4814,0,1168,14,36,36,38,940,1296,1490,628,0,4556,132,88,228,66,40,84,346,22,84,23938,4,12,8,0,1496,106,17372,1896,na,na,na,na,na,na,na,na,19140,8.91,23938,23938,31172,24,98,2316,23740,5670,1209600,214,2,10,0,1574.4,0,2976.96,0,10,0,0,2648,376,1720,356,546,0,0,0,2,12,23938,0,1166,10,18,2,758,278,3062,324,28,0,2,28,1304,168,0,0,0,0,2092,36,52,0,0,0,0,0,0,0,0,152,0,0,144,138,26,6,300,186,10718,4,0,0,0,80.46,32,4272,1152,66,10,10,34,52,50,0,0,0,0
49094,na,2130706460,702,0,0,0,0,0,0,4740,1431090,1633192,444910,30804,636,1528230,0,0,0,0,0,3217642,2749806,1013340,383416,0,0,0,0,340,530,0,0,0,0,0,0,2212582,741116,591674,0,3250,1798,2734,3950,42600,3490720,320,0,0,0,1512904,960322,347150,244712,175980,156694,147610,0,0,0,4231558,0,236,238,20,1528230,42956,607966,403140,262800,231820,389160,na,na,na,na,na,122240,49093.48,4231558,4231558,4196028,15618,1046,54130,594580,3545372,1209600,79248,2,122,0,2724238.08,0,817322.88,30,858,0,0,0,422362,1860426,899050,324188,35872,3396,78,16,22,4231558,na,6124,788,32332,537786,216448,1139478,1593880,18424,110,2,726,792,2591030,74936,0,42164,0,20,2778146,4236,874,0,0,0,0,0,0,0,0,23854,75628,22966,0,0,67716,11984,5158640,533782,0,0,0,0,9093550,1795.32,1926,860860,495762,247378,134898,424818,599748,623522,153276,5110,0,0,0
58600,na,190,152,0,0,0,0,0,0,2296,393078,2330996,792230,53432,1326,1616632,0,0,0,0,0,3213780,2758970,568512,366330,0,0,0,0,830,262,0,0,0,0,0,275614,2138722,1070406,88616,0,4486,2816,3116,64300,2802610,696002,28,0,0,0,1393868,628926,284778,214980,180600,169960,251046,449200,0,0,3783420,988,1594,884,2,1616632,50348,301872,265240,173600,157780,202780,na,na,na,na,na,24920,58599.89,3783420,3783420,3783814,26508,26178,9264,143680,3573358,1209600,117942,0,194,0,3166389.12,0,403642.56,0,0,0,0,0,26936,839540,1928860,737406,33484,6630,502,5988,6124,3783420,na,7156,944,84374,155910,216522,2366084,721160,21070,138,0,342,640,2807798,300174,110,16658,0,0,3181744,3262,210,0,0,0,0,0,0,0,0,26756,61166,10254,0,0,101272,25154,588580,185570,0,0,0,0,0,1873.38,2200,431690,629914,439608,194654,376326,292430,297910,368836,531244,10746,0,0
28722,na,2130706436,2670,0,0,0,0,0,0,102774,2310246,1749888,247220,1526,0,1845338,6210,0,0,0,0,3580350,2300096,1506256,857172,0,0,10770,0,16028,1090,0,0,0,0,0,0,582620,3829030,4,0,11192,1134,1954,3682,13702,4053192,326796,2,0,0,1821612,1031782,378626,281586,222366,183762,196976,288692,6252,0,5091238,0,26,154,20,1845338,80730,620210,878988,368440,346100,330920,359100,na,na,na,na,65980,28722.61,5091238,5091238,4959752,24082,1176,114526,214400,4411654,1209600,203174,2,370,0,3626145.6,0,770434.56,0,3252,0,0,0,99398,1228402,2141254,805086,104226,30674,2614,154,160,5091238,na,25174,4398,167930,559728,249430,2320716,1054232,29866,180,0,4158,2412,3113098,46470,0,94260,0,42,3723150,13530,1696,0,0,0,0,0,0,0,0,66574,15630,2618,0,0,94054,12682,22563900,2268690,0,0,0,0,0,8043.4,9064,823686,2717466,618720,187700,59760,3958,338,12,14,0,0,0
332480,na,0,na,0,0,0,0,0,0,188274,5145526,12628708,2994102,26024,0,10309512,0,0,0,834,2196,18832598,16718682,3617594,1613674,0,0,0,0,0,0,0,0,0,0,0,432532,7822242,11865992,861868,0,22910,16696,40818,65350,9745494,11086980,4342,36,6,2,8803080,2773614,1429606,1172208,1076884,1211412,1907630,2073822,506560,27818,22456534,354,948,3978,2726,10309512,231770,1884538,1713064,133760,148420,175420,164180,158040,207160,160100,191860,63780,332480.02,22456534,22456534,22081392,147044,2408708,27988,622320,20982634,1209600,0,na,na,na,18336432,0,2614606.08,0,0,0,0,20656,989326,8648878,9531698,1627822,137608,25542,1104,na,0,22456534,na,23194,4530,845768,1540270,3584012,14388176,590510,6174,0,0,na,na,na,na,na,na,na,na,na,16974,890,0,0,0,0,0,0,0,0,140146,369398,63898,0,0,696452,118754,28596000,5503614,0,0,0,0,17065340,9279.4,12096,2748402,3842188,2673030,1279486,2536186,2063758,1767294,1243128,2569812,259350,0,0
33714,na,192,160,0,0,0,0,0,0,12544,705766,1167238,309058,12964,386,987652,0,0,0,0,0,2012994,1761152,332536,203576,0,0,0,0,324,238,0,0,0,0,0,53926,954254,701492,498284,0,1478,756,1698,101728,1599158,503084,54,0,0,0,716848,554026,226560,162364,129666,122618,174080,121792,2,0,2346026,178,286,978,0,987652,27788,184608,146454,175900,na,na,na,na,na,na,na,152020,33714.27,2346026,2346026,2349454,14679,19216,110690,1131060,2207956,1209600,65910,0,94,0,1941658.56,0,264717.12,0,0,0,0,2300,264820,823126,903578,202444,9892,1776,20,24,40,2346026,na,3052,408,23864,120410,80084,1178944,777786,23228,180,0,254,716,1539132,63872,0,8316,0,72,1955890,1376,142,0,0,0,0,0,0,0,0,14566,35970,6414,0,0,81328,12216,869260,186932,0,0,0,0,32714250,768.46,904,281272,385650,311728,162900,332656,326952,206694,106572,92472,1060,0,0
1176508,na,790,54,0,0,0,0,0,0,105174,1200464,782708,337066,50692,0,39516122,0,0,0,2540336,3548294,75579782,65643698,19122730,11407618,0,0,0,0,8554,314,0,0,0,0,0,0,0,90102,2386002,0,14752,7670,8234,4412,715568,1725468,0,0,0,0,855620,695980,301606,197312,124268,105288,113588,82422,20,0,97248048,6532,10852,1050,14,39516122,1363414,6838676,12252494,262840,280900,243700,239560,245740,249660,219140,196760,76440,1176508.72,97248048,97248048,2527950,17069,11322,105192,398680,2476104,1209600,804236,0,50,0,66531252.48,20749303.68,8107800,0,0,0,0,506,219098,1107934,1103764,38236,5444,1112,10,22,92,97248048,na,1210,312,253038,560144,1523982,137294,124,0,0,0,42,4,1669988,105046,0,0,0,0,1749126,28902,1794,0,0,7020,6669032,0,0,0,0,770562,308110,55262,82034034,11553768,1065636,157346,1398720,168578,28902848,124334,0,0,51968620,420.08,544,756086,361620,253562,108010,276924,280678,280584,154444,4196,0,0,0
121870,na,0,na,0,0,0,0,0,0,150604,4024450,6166738,2479596,258610,5168,6865558,0,0,0,994,1424,11002504,8997204,3729744,1598254,0,0,34130,0,0,0,0,0,0,0,0,0,792910,12290938,1318,0,32186,14898,17820,366090,10057366,2596772,34,0,0,0,5400104,1529186,627086,485606,490764,607972,867584,1866952,1119404,90508,14737308,0,1114,1128,1262,6865558,249888,1899924,1820058,375820,356880,354120,320700,265740,304520,312920,279280,37360,121869.46,14737308,14737308,14466582,102696,2104306,114006,178560,13086068,1209600,0,na,na,na,9297646.08,0,3766823.04,na,na,0,0,3280,492918,4635274,5430906,2130172,343468,47578,1570,na,2988,14737308,na,21266,3692,2876394,1136450,1712370,7012430,318872,3692,0,0,na,na,na,na,na,na,na,na,na,21108,762,0,0,0,0,0,0,0,0,180744,98066,17428,0,0,407486,67140,11932060,5001138,0,0,0,0,43896830,na,na,3858698,4392426,1521818,512668,812266,511176,369254,292344,766934,47582,0,0
1668,na,10,10,0,0,0,0,0,0,218,82,82432,37652,114,0,49976,0,0,0,0,0,110110,93872,27048,9832,0,0,0,0,10,8,0,0,0,0,0,0,45652,74844,2,0,228,140,166,302,21710,95960,1992,0,0,0,69322,39898,7718,2400,464,252,298,146,0,0,137208,2,4,188,0,49976,1644,13326,13428,na,na,na,na,na,na,na,na,26240,1668.4,137208,137208,141366,348,0,13212,136500,120498,1209600,3440,2,4,0,92222.4,0,28061.76,0,0,0,0,0,0,44436,66960,8000,886,216,0,26,30,137208,na,440,58,764,9556,2828,26822,76070,3848,112,0,40,54,93962,48470,0,50,0,18,94028,208,516,0,0,0,0,0,0,0,0,984,406,82,0,0,2188,514,399540,40008,0,0,0,0,668470,135.4,148,29940,15968,8598,3036,7220,51988,2278,284,540,646,0,0
