class,Sensor_001,Sensor_002,Sensor_003,Sensor_004,Sensor_005,Sensor_006,Sensor_007,Sensor_008,Sensor_009,Sensor_010,Sensor_011,Sensor_012,Sensor_013,Sensor_014,Sensor_015,Sensor_016,Sensor_017,Sensor_018,Sensor_019,Sensor_020,Sensor_021,Sensor_022,Sensor_023,Sensor_024,Sensor_025,Sensor_026,Sensor_027,Sensor_028,Sensor_029,Sensor_030,Sensor_031,Sensor_032,Sensor_033,Sensor_034,Sensor_035,Sensor_036,Sensor_037,Sensor_038,Sensor_039,Sensor_040,Sensor_041,Sensor_042,Sensor_043,Sensor_044,Sensor_045,Sensor_046,Sensor_047,Sensor_048,Sensor_049,Sensor_050,Sensor_051,Sensor_052,Sensor_053,Sensor_054,Sensor_055,Sensor_056,Sensor_057,Sensor_058,Sensor_059,Sensor_060,Sensor_061,Sensor_062,Sensor_063,Sensor_064,Sensor_065,Sensor_066,Sensor_067,Sensor_068,Sensor_069,Sensor_070,Sensor_071,Sensor_072,Sensor_073,Sensor_074,Sensor_075,Sensor_076,Sensor_077,Sensor_078,Sensor_079,Sensor_080,Sensor_081,Sensor_082,Sensor_083,Sensor_084,Sensor_085,Sensor_086,Sensor_087,Sensor_088,Sensor_089,Sensor_090,Sensor_091,Sensor_092,Sensor_093,Sensor_094,Sensor_095,Sensor_096,Sensor_097,Sensor_098,Sensor_099,Sensor_100,Sensor_101,Sensor_102,Sensor_103,Sensor_104,Sensor_105,Sensor_106,Sensor_107,Sensor_108,Sensor_109,Sensor_110,Sensor_111,Sensor_112,Sensor_113,Sensor_114,Sensor_115,Sensor_116,Sensor_117,Sensor_118,Sensor_119,Sensor_120,Sensor_121,Sensor_122,Sensor_123,Sensor_124,Sensor_125,Sensor_126,Sensor_127,Sensor_128,Sensor_129,Sensor_130,Sensor_131,Sensor_132,Sensor_133,Sensor_134,Sensor_135,Sensor_136,Sensor_137,Sensor_138,Sensor_139,Sensor_140,Sensor_141,Sensor_142,Sensor_143,Sensor_144,Sensor_145,Sensor_146,Sensor_147,Sensor_148,Sensor_149,Sensor_150,Sensor_151,Sensor_152,Sensor_153,Sensor_154,Sensor_155,Sensor_156,Sensor_157,Sensor_158,Sensor_159,Sensor_160,Sensor_161,Sensor_162,Sensor_163,Sensor_164,Sensor_165,Sensor_166,Sensor_167,Sensor_168,Sensor_169,Sensor_170
neg,10,0,8,8,0,0,0,0,0,0,6,340,4304,0,0,0,606,0,0,0,0,0,3598,2002,7342,576,0,0,0,0,8,18,0,0,0,0,0,0,0,0,4650,0,54,62,790,312,46,1724,1662,0,0,0,3230,296,104,104,196,36,470,56,138,20,10962,0,14,0,0,606,140,5898,1436,na,na,na,na,na,na,na,na,7200,9.93,10962,10962,13500,23,10,1046,10780,4694,1209600,308,2,2,0,1824,177.6,1530.24,0,6,0,0,0,0,3244,1360,46,0,0,0,0,2,10962,0,1188,16,8,8,128,652,2070,534,46,0,6,24,1784,100,0,0,0,0,2010,38,64,0,0,110,232,0,0,0,0,208,0,0,356,86,60,18,6820,678,4492,14,0,0,0,0.82,42,3080,1338,56,34,70,70,2,0,0,0,0,0
neg,1954,na,60,60,0,0,0,0,0,0,246,35562,79776,3532,0,0,49742,0,0,0,0,0,112166,101318,21568,8210,0,0,0,0,48,72,0,0,0,0,0,4136,94928,4788,15264,0,84,28,32,20,51576,67374,2,0,0,0,43828,39310,18686,7574,5166,3668,668,216,0,0,133746,0,664,6,0,49742,1332,14656,6882,na,na,na,na,na,na,na,na,21340,1953.39,133746,133746,136116,401,0,13200,133440,119116,1209600,2966,4,8,0,108665.28,0,10341.12,0,0,0,0,0,14434,57938,44548,1768,350,78,0,0,8,133746,na,148,20,50,7766,2644,93750,13892,846,0,0,56,174,109834,61230,0,4,0,18,109834,116,36,0,0,0,0,0,0,0,0,672,534,178,0,0,1998,340,120,12,0,0,0,0,953420,55.38,60,11706,17560,8628,4788,12536,63870,28,0,0,0,0,0
neg,29304,na,594,474,0,0,0,0,0,0,550,168442,1328768,309172,22228,1020,823546,0,0,0,0,0,1656604,1455362,395060,167072,0,0,0,0,2926,450,0,0,0,0,0,0,480156,1283124,66900,0,1350,912,1748,30376,1161862,633892,40,0,0,0,678250,364854,173384,124912,90162,69052,78052,250958,556,0,2051882,644,1074,204,0,823546,21042,251170,143274,236300,na,na,na,na,na,na,na,155600,29303.85,2051882,2051882,2051006,13103,20758,81934,838880,1830180,1209600,43382,0,104,0,1604357.76,0,224221.44,0,0,0,0,0,20100,542704,1019770,233696,11524,2248,138,338,372,2051882,na,2594,314,23322,129600,72752,1075108,512214,14136,140,0,866,1304,962352,49124,0,12838,0,0,1617578,1300,596,0,0,0,0,0,0,0,0,10760,17510,3100,0,0,56978,7986,1286440,262756,0,0,0,0,275260,700.72,800,237844,308200,224856,101102,217024,253494,199228,117920,160068,10444,0,0
neg,33736,na,112,90,0,0,0,0,0,57620,1110090,527642,37830,686,0,0,708708,0,0,0,67544,96680,1545802,1475376,295470,98362,0,0,0,0,44,368,0,0,0,0,0,1272,13118,675118,1044360,0,1102,744,1094,3116,27944,1699864,4,0,0,0,250222,710560,406782,159718,74296,38848,27338,42374,23440,290,1909182,438,892,1888,2,708708,14436,181916,111980,187860,na,na,na,na,na,na,na,104440,33737,1909182,1909182,1912918,9612,280,67826,695840,1733868,1209600,24924,2,38,0,1586195.52,0,145740.48,2,288,0,16188,718534,784302,188114,20206,5204,1246,74,0,0,84,1909182,na,2674,248,8916,96780,34316,1138966,437612,14304,52,0,88,778,1594868,1077054,0,74,0,0,1595044,860,508,0,0,0,0,0,0,0,0,8972,2404,866,1361330,192378,23726,3642,11449360,1145438,1817314,2884,0,0,3737040,522,554,155296,135038,63708,39832,91816,183518,889270,174658,554,178,0,0
neg,24,na,62,42,0,0,0,0,0,0,56,5256,2610,0,0,0,2828,0,0,0,0,0,7230,5102,12688,884,0,0,0,0,16,32,0,0,0,0,0,0,7922,0,0,0,474,32,36,46,2144,5190,0,0,0,0,6708,1096,104,12,2,0,0,0,0,0,19936,0,8,0,0,2828,212,10516,2154,na,na,na,na,na,na,na,na,12540,24.49,19936,19936,26056,14,138,1920,19860,7922,1209600,578,0,0,0,4418.88,0,3460.8,0,0,0,0,0,2938,4682,238,64,0,0,0,0,4,19936,na,130,18,68,560,668,1958,3510,936,74,0,46,32,3954,42,0,20,0,32,4674,38,82,0,0,0,0,0,0,0,0,136,0,0,0,0,232,76,3320,674,0,0,0,0,0,460.84,58,3858,3666,344,46,8,0,0,0,0,0,0,0
neg,1566,0,20,20,0,0,0,0,15340,27050,88332,12488,1048,0,0,0,35374,0,0,0,27938,37734,117380,127330,61090,8824,0,0,0,0,90,94,0,0,0,0,0,0,0,44064,100194,0,590,226,352,1460,4414,84300,17506,35392,18,0,76298,47662,9946,4426,2568,1656,878,578,126,120,206494,126,124,360,0,35374,1086,37506,23184,na,na,na,na,na,na,na,na,60260,1566.69,206494,206494,204496,482,210,20192,205600,144388,1209600,2826,4,22,0,81273.6,37874.88,24063.36,12,86,2668,20196,49366,15138,15764,40948,172,6,0,0,20,24,206494,0,1430,52,8980,11222,15924,62428,41640,2508,74,0,24,124,83398,35600,0,560,0,0,83658,210,84,0,22,0,66546,0,0,0,0,1456,172,44,0,0,2032,320,240460,25518,0,0,0,0,566680,245.42,182,63688,12910,5894,2744,4588,14926,33600,5872,36,0,0,0
neg,39422,na,218,160,0,0,0,0,0,0,778,390184,1894402,571528,53798,5124,1350858,0,190,0,0,0,2526032,2091950,609098,370986,0,0,0,0,564,182,0,0,0,0,0,32852,1209960,1288302,384700,0,2828,2168,3546,612274,2122388,172610,0,0,0,0,961894,794944,270434,187552,144608,127740,172752,255824,66,0,3135728,616,542,990,2,1350858,44532,327716,278942,242580,223580,na,na,na,na,na,na,136780,39422.23,3135728,3135728,3138048,18671,4174,67100,710080,2915814,1209600,114304,0,226,0,2619185.28,0,294231.36,0,0,0,0,0,5186,744106,1561798,552904,43958,7342,520,12,16,3135728,na,4816,652,83060,192302,153764,1970702,499546,10814,158,0,294,466,1191998,124652,54,167838,0,0,2646456,2028,174,0,0,0,0,0,0,0,0,23102,27474,5806,0,0,104442,14194,3648980,405838,0,0,0,0,0,1228.66,1456,322188,765748,487848,240372,541694,360388,169808,25912,1856,0,0,0
neg,26,na,8,8,0,0,0,0,0,0,174,1244,8368,5160,0,0,6520,0,58,0,0,0,18044,11410,26578,1122,0,0,0,0,0,0,0,0,0,0,0,0,14944,0,2,0,358,540,736,1540,4012,7758,2,0,0,0,13684,926,152,106,50,24,4,0,0,0,44674,0,0,2,0,6520,460,21250,5278,na,na,na,na,na,na,na,na,26180,25.6,44674,44674,35458,29,46,3256,44220,14946,1209600,476,2,0,0,5401.92,0,8647.68,na,na,0,0,0,488,4720,8408,1082,238,10,0,0,4,44674,na,138,22,60,1144,1386,6080,4828,1284,4,0,12,0,1190,0,0,10,0,0,2052,38,2,0,0,0,12,0,0,0,0,444,0,0,0,0,126,50,1160,266,818,76,0,0,0,na,na,9122,5532,244,36,12,0,0,0,0,0,0,0
neg,38288,na,2130706432,160,0,0,0,0,0,0,3896,193658,1678380,478808,1846,0,1007004,0,0,0,0,0,2189370,1987608,345158,147692,0,0,0,0,430,136,0,0,0,0,0,8136,1066392,197372,1084688,0,2138,898,1066,1416,5150,2337358,8562,0,0,0,708400,908400,282036,152052,89218,62832,75088,78486,76,0,2535200,26,318,172,12,1007004,20928,185638,158336,173640,156800,na,na,na,na,na,na,8020,38287.05,2535200,2535200,2498394,11446,5392,7240,109180,2356588,1209600,46444,2,36,0,2137313.28,0,215811.84,0,132,0,0,0,17256,1036694,1108950,182114,10070,1504,0,2,8,2535200,na,4526,672,45946,148938,126070,1815736,205166,9378,156,0,306,354,636570,80378,0,91546,0,8,2153450,2684,332,0,0,0,0,0,0,0,0,14216,37810,15312,0,0,42440,7850,31864780,3206576,0,0,0,0,293420,1284.12,1490,236498,333194,234272,135866,559692,637176,154620,37658,27152,460,0,0
neg,59576,na,210,202,0,0,0,0,0,0,338,624400,2492804,598416,9168,12,1616168,0,0,0,0,0,3308784,2796202,602072,428782,0,0,0,0,184,74,0,0,0,0,0,366122,2559650,125272,674094,0,3632,1132,1610,268268,2804852,644900,744,0,0,0,1205904,804934,338712,258278,243588,419406,454316,0,0,0,3911632,0,62,558,6,1616168,44966,343618,257316,172240,181780,195180,na,na,na,na,na,45120,59575.47,3911632,3911632,3918688,25493,4268,22994,274020,3725138,1209600,133440,2,48,0,3399850.56,0,321092.16,0,0,0,0,0,36784,1030296,2053772,566388,28164,7744,1990,4,8,3911632,na,7084,820,81070,178502,137932,2368698,927406,23394,232,0,414,180,2885968,214956,0,880,0,32,3428142,2596,242,0,0,0,0,0,0,0,0,27382,61840,22768,0,0,75414,12400,8767520,964660,0,0,0,0,810170,1571.74,1716,357828,761868,502142,222040,439876,461568,397674,245362,326402,10378,0,0
